images saved: 1200
split (location-grouped): {'train': 735, 'val': 232, 'test': 233}
rejected/failed: 131
reject reasons: {'ValueError': 129, 'URLError': 2}

REJECT bobcat 59c66a45-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 58c03690-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 58ff0cf1-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 58d611ee-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59d27dea-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59f5ff04-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5971f8d0-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59adfb07-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59830769-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5a24a980-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 595def40-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 599104a5-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 58c66390-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59fe225e-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 589e68f7-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59f4612d-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5965ac64-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5a17dcb2-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5a2c85e2-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59518e34-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5903cbe9-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5a0b01e4-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 586e2f00-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 5994219e-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59a62a5e-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 59973ddd-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 594cebce-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
REJECT bobcat 585daa86-23d2-11e8-a6a3-ec086b02610b ValueError: not-grayscale (daytime colour frame)
