split,class,filename,image_id,orig_filename,location,seq_id,timestamp,month,season,bbox,has_bbox,box_source,checksum
train,bobcat,bobcat/bobcat_0000.jpg,59f462f2-23d2-11e8-a6a3-ec086b02610b,59f462f2-23d2-11e8-a6a3-ec086b02610b.jpg,10,701d7402-5567-11e8-871a-dca9047ef277,2014-01-06 01:31:33,2014-01,winter,36;74;179;133,True,gt,ea2ac128e1a0f24b9624490ca147fbbf5d6864764d7f14f1e3d98b6791dbb366
train,bobcat,bobcat/bobcat_0001.jpg,59260e18-23d2-11e8-a6a3-ec086b02610b,59260e18-23d2-11e8-a6a3-ec086b02610b.jpg,100,6f1de74f-5567-11e8-8e12-dca9047ef277,2010-12-10 23:46:23,2010-12,winter,122;167;65;71,True,gt,0b8dd87343df737ab2851140279f8de813485745302e811ddacd9597cc2408e3
train,bobcat,bobcat/bobcat_0002.jpg,589cb3b0-23d2-11e8-a6a3-ec086b02610b,589cb3b0-23d2-11e8-a6a3-ec086b02610b.jpg,101,701c3075-5567-11e8-a3a7-dca9047ef277,2014-09-27 03:23:45,2014-09,autumn,78;107;109;168,True,yolo,fad357ae03256adb06ae5cf675c75c50b701268a457dc423505af4361e53d262
val,bobcat,bobcat/bobcat_0003.jpg,592de30d-23d2-11e8-a6a3-ec086b02610b,592de30d-23d2-11e8-a6a3-ec086b02610b.jpg,103,6f1abd4c-5567-11e8-837d-dca9047ef277,2011-07-11 21:12:55,2011-07,summer,182;129;45;51,True,yolo,f39cc116ca8b3ada5dc89155b97577207de26156ae415bbfd2eff3a4a6890872
test,bobcat,bobcat/bobcat_0004.jpg,58cb1419-23d2-11e8-a6a3-ec086b02610b,58cb1419-23d2-11e8-a6a3-ec086b02610b.jpg,105,6f19b74f-5567-11e8-ae6a-dca9047ef277,2011-04-26 20:08:28,2011-04,spring,180;156;36;42,True,gt,fefdc171415421d0a6cebdadc998c5d58cc23ff225580bade2d71dcb9a1e0c97
test,bobcat,bobcat/bobcat_0005.jpg,59136629-23d2-11e8-a6a3-ec086b02610b,59136629-23d2-11e8-a6a3-ec086b02610b.jpg,106,6f68327a-5567-11e8-b2ed-dca9047ef277,2013-10-15 20:14:37,2013-10,autumn,160;120;65;39,True,yolo,c6ae071de73edf4715b03169a2e0dbda0256cc1a2308bfd82e80467757a6f348
train,bobcat,bobcat/bobcat_0006.jpg,58c4d595-23d2-11e8-a6a3-ec086b02610b,58c4d595-23d2-11e8-a6a3-ec086b02610b.jpg,107,6f0dccb0-5567-11e8-ae11-dca9047ef277,2011-08-10 22:17:51,2011-08,summer,,False,none,04f2483fbeb378ece47bac79ccced227d930e5ad79bfa2d782cefd46756cbc86
train,bobcat,bobcat/bobcat_0007.jpg,58cfcced-23d2-11e8-a6a3-ec086b02610b,58cfcced-23d2-11e8-a6a3-ec086b02610b.jpg,108,6f14c845-5567-11e8-a38e-dca9047ef277,2011-05-28 22:58:06,2011-05,spring,305;147;77;72,True,gt,440fb6cda33c55cacd060f0ed02fc95bcdd6b2741d1d6bce72aad86fdf7756b0
test,bobcat,bobcat/bobcat_0008.jpg,58a37bf6-23d2-11e8-a6a3-ec086b02610b,58a37bf6-23d2-11e8-a6a3-ec086b02610b.jpg,112,6f0f08d1-5567-11e8-8cde-dca9047ef277,2012-01-08 06:58:39,2012-01,winter,,False,none,8bb9f51c8473069bc6562f5d3a2944bc94a1543b50e4a611002890da57146cf9
train,bobcat,bobcat/bobcat_0009.jpg,592abee9-23d2-11e8-a6a3-ec086b02610b,592abee9-23d2-11e8-a6a3-ec086b02610b.jpg,114,6ff3da85-5567-11e8-ab5f-dca9047ef277,2013-10-12 04:41:29,2013-10,autumn,72;141;68;68,True,yolo,ab4dfd279c91c0b5d6a99db1ab3652127b3d147685353eed4e3ad02e358d6321
train,bobcat,bobcat/bobcat_0010.jpg,59104a77-23d2-11e8-a6a3-ec086b02610b,59104a77-23d2-11e8-a6a3-ec086b02610b.jpg,115,6f1159f3-5567-11e8-aef1-dca9047ef277,2011-06-17 20:51:28,2011-06,summer,301;156;83;122,True,gt,c55d0174196eecb62c3d111b1338ba470bde4b65ef684e336e25c428aeccebb8
test,bobcat,bobcat/bobcat_0011.jpg,5860f046-23d2-11e8-a6a3-ec086b02610b,5860f046-23d2-11e8-a6a3-ec086b02610b.jpg,118,700a9f45-5567-11e8-bcf2-dca9047ef277,2013-03-01 20:09:34,2013-03,spring,,False,none,f1a75ca26130a071d047b785a214f9811994662923572c4e9d9363d8dd391bec
train,bobcat,bobcat/bobcat_0012.jpg,59ec52c5-23d2-11e8-a6a3-ec086b02610b,59ec52c5-23d2-11e8-a6a3-ec086b02610b.jpg,12,701be0d9-5567-11e8-989b-dca9047ef277,2014-09-14 01:16:13,2014-09,autumn,242;185;89;91,True,gt,f487d5fd41063c723c250cb45c931ac587dd9e95e03ef12f587e93f9ae726eca
train,bobcat,bobcat/bobcat_0013.jpg,58c1c07f-23d2-11e8-a6a3-ec086b02610b,58c1c07f-23d2-11e8-a6a3-ec086b02610b.jpg,125,6f15a368-5567-11e8-8e2f-dca9047ef277,2011-04-16 06:32:34,2011-04,spring,270;108;34;31,True,gt,89c63b749ceea2aa89adb7eecb21e098f40a4b7ff74568b8eaefd58c68eccfc3
test,bobcat,bobcat/bobcat_0014.jpg,5906f23a-23d2-11e8-a6a3-ec086b02610b,5906f23a-23d2-11e8-a6a3-ec086b02610b.jpg,128,701a920a-5567-11e8-9f59-dca9047ef277,2013-11-01 19:42:39,2013-11,autumn,,False,none,569dcc8983f4f0fd6621d5487dfe1890f2d7a0878d32a90a9466b5efd7b0c14c
train,bobcat,bobcat/bobcat_0015.jpg,588a6875-23d2-11e8-a6a3-ec086b02610b,588a6875-23d2-11e8-a6a3-ec086b02610b.jpg,129,70185238-5567-11e8-8148-dca9047ef277,2014-06-15 22:07:39,2014-06,summer,,False,none,d4e3b94517826d0ac521beeafce0951daf28eb4cd1531a8a458e9f0dd5c4b3d7
train,bobcat,bobcat/bobcat_0016.jpg,592c4dd5-23d2-11e8-a6a3-ec086b02610b,592c4dd5-23d2-11e8-a6a3-ec086b02610b.jpg,130,6f0ce305-5567-11e8-937c-dca9047ef277,2011-06-04 02:19:38,2011-06,summer,176;125;46;57,True,gt,64aca0c10fb4c373f754967e7f4bfe18c53ef9577de4dfdbc29760b214e1a344
train,bobcat,bobcat/bobcat_0017.jpg,592f7212-23d2-11e8-a6a3-ec086b02610b,592f7212-23d2-11e8-a6a3-ec086b02610b.jpg,138,701b501e-5567-11e8-8f74-dca9047ef277,2013-11-30 22:27:27,2013-11,autumn,151;44;229;223,True,yolo,fd844bf0120f864998bd4fd8f9cd67d0dd4628586b3581f2e2312feb108e3c86
